ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
362,low,Sunday,23,1.0,0.11364007426512417,3,0.10669298015892474,3.0
363,high,Weekday,0,0.9110671936758893,0.038679966212332106,51,0.050795911036119024,45.0
363,high,Weekday,1,0.8959156785243741,0.038160291501018274,51,0.04852513327824226,44.0
363,high,Weekday,2,0.8959156785243741,0.034816077704990296,51,0.039516618402742315,44.0
363,high,Weekday,3,0.8959156785243741,0.03467944883548359,51,0.03832998639999639,44.0
363,high,Weekday,4,0.8959156785243741,0.05816544414315486,51,0.09544752407523728,44.0
363,high,Weekday,5,0.8959156785243741,0.1183146562853804,51,0.16418866034704765,44.0
363,high,Weekday,6,0.8959156785243741,0.13594926310065952,51,0.17620893292549078,44.0
363,high,Weekday,7,0.8959156785243741,0.15670136174130264,51,0.19317054659335606,44.0
363,high,Weekday,8,0.9703557312252965,0.28263233058527715,51,0.22402433653212053,49.0
363,high,Weekday,9,0.9407114624505929,0.14015238038773054,51,0.1384665462473213,47.0
363,high,Weekday,10,0.9104084321475626,0.11919679140560425,51,0.18303681683657325,45.0
363,high,Weekday,11,0.8959156785243741,0.10598014189489872,52,0.14292290842398972,45.0
363,high,Weekday,12,0.8959156785243741,0.10881513458787433,52,0.16307146235584402,45.0
363,high,Weekday,13,0.8959156785243741,0.12257417517031322,52,0.17238552043654476,45.0
363,high,Weekday,14,0.8959156785243741,0.1230444127227709,52,0.17603627722902782,45.0
363,high,Weekday,15,0.8959156785243741,0.14742682768019766,52,0.20388930751172363,45.0
363,high,Weekday,16,0.8959156785243741,0.13769476384982185,52,0.1860475567015071,45.0
363,high,Weekday,17,0.8959156785243741,0.41619341922076614,52,0.2793098600431187,45.0
363,high,Weekday,18,0.8959156785243741,0.7385801805577342,52,0.26025947261922433,45.0
363,high,Weekday,19,0.8959156785243741,0.670047911375898,52,0.18953767219435336,45.0
363,high,Weekday,20,0.8959156785243741,0.7239709433228733,52,0.20830582676123177,45.0
363,high,Weekday,21,0.8959156785243741,0.4596436752300998,52,0.26024088898937514,45.0
363,high,Weekday,22,0.8959156785243741,0.08752884331733314,52,0.11653806426239839,45.0
363,high,Weekday,23,0.8959156785243741,0.04942276015091931,52,0.067222279577089,45.0
363,high,Saturday,0,1.0,0.08180053825122857,11,0.10082969325039808,11.0
363,high,Saturday,1,1.0,0.07319904689170019,11,0.09048227321647674,11.0
363,high,Saturday,2,1.0,0.0654803257878109,11,0.07883187898396683,11.0
363,high,Saturday,3,1.0,0.06507089766367301,11,0.07896042465351011,11.0
363,high,Saturday,4,1.0,0.06521331807889323,11,0.07819422167513838,11.0
363,high,Saturday,5,1.0,0.07045161544834143,11,0.07761037155471456,11.0
363,high,Saturday,6,1.0,0.07047615389090851,11,0.08199861251571033,11.0
363,high,Saturday,7,1.0,0.33203768766544434,11,0.42454629310100483,11.0
363,high,Saturday,8,1.0,0.22129207736162057,11,0.2663143292773134,11.0
363,high,Saturday,9,1.0,0.1371443982195302,11,0.1992795634841289,11.0
363,high,Saturday,10,1.0,0.1853333364192252,11,0.09823018227606195,11.0
363,high,Saturday,11,1.0,0.13209111098417306,11,0.13780105268266932,11.0
363,high,Saturday,12,1.0,0.15722222561964128,11,0.1940773341638895,11.0
363,high,Saturday,13,1.0,0.24987370019776933,11,0.27404034839977026,11.0
