RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
VLK077,ERID-000VLK077,4,2012-09-01,2014-01-10,1000126,0
VLK077,ERID-000VLK077,4,2014-01-01,2015-01-10,1000140,1
VLK078,ERID-000VLK078,4,2009-12-01,2010-10-31,1000098,0
VLK078,ERID-000VLK078,4,2010-11-01,2011-12-31,1000108,0
VLK078,ERID-000VLK078,4,2012-01-01,2013-01-10,1000115,0
VLK078,ERID-000VLK078,4,2012-09-01,2014-01-10,1000126,0
VLK078,ERID-000VLK078,4,2014-01-01,2015-01-10,1000140,1
VLK079,ERID-000VLK079,4,2009-12-01,2010-10-31,1000098,0
VLK079,ERID-000VLK079,4,2010-11-01,2011-12-31,1000108,0
VLK079,ERID-000VLK079,4,2012-01-01,2013-01-10,1000115,0
VLK079,ERID-000VLK079,4,2012-09-01,2014-01-10,1000126,0
VLK079,ERID-000VLK079,4,2014-01-01,2015-01-10,1000140,1
VLK080,ERID-000VLK080,4,2009-12-01,2010-10-31,1000098,0
VLK080,ERID-000VLK080,4,2010-11-01,2011-12-31,1000108,0
VLK080,ERID-000VLK080,4,2012-01-01,2013-01-10,1000115,0
VLK080,ERID-000VLK080,4,2012-09-01,2014-01-10,1000126,0
VLK080,ERID-000VLK080,4,2014-01-01,2015-01-10,1000140,1
WVL001,95679364,1,2009-07-15,2009-11-30,1000089,0
WVL001,ERID-000WVL001,4,2009-12-01,2010-10-31,1000099,0
WVL001,ERID-000WVL001,4,2010-11-01,2011-12-31,1000109,0
WVL001,ERID-000WVL001,4,2012-01-01,2013-01-10,1000116,0
WVL001,ERID-000WVL001,4,2012-09-01,2014-01-10,1000127,0
WVL001,ERID-000WVL001,4,2014-01-01,2015-01-10,1000141,1
WVL002,95679348,1,2009-07-15,2009-11-14,1000089,0
WVL002,ERID-000WVL002,4,2009-11-15,2010-10-31,1000099,0
WVL002,ERID-000WVL002,4,2010-11-01,2011-12-31,1000109,0
WVL002,ERID-000WVL002,4,2012-01-01,2013-01-10,1000116,0
WVL002,ERID-000WVL002,4,2012-09-01,2014-01-10,1000127,0
WVL002,ERID-000WVL002,4,2014-01-01,2015-01-10,1000141,1
WVL003,ERID-000WVL003,4,2009-12-01,2010-10-31,1000099,0
WVL003,ERID-000WVL003,4,2010-11-01,2011-12-31,1000109,0
WVL003,ERID-000WVL003,4,2012-01-01,2013-01-10,1000116,0
WVL003,ERID-000WVL003,4,2012-09-01,2014-01-10,1000127,0
WVL003,ERID-000WVL003,4,2014-01-01,2015-01-10,1000141,1
WVL004,95679355,1,2009-07-15,2009-11-11,1000089,0
WVL004,ERID-000WVL004,4,2009-11-12,2010-10-31,1000099,0
WVL004,ERID-000WVL004,4,2010-11-01,2011-12-31,1000109,0
WVL004,ERID-000WVL004,4,2012-01-01,2013-01-10,1000116,0
WVL004,ERID-000WVL004,4,2012-09-01,2014-01-10,1000127,0
WVL004,ERID-000WVL004,4,2014-01-01,2015-01-10,1000141,1
WVL005,95679342,1,2009-07-14,2009-11-30,1000089,0
WVL005,ERID-000WVL005,4,2009-12-01,2010-10-31,1000099,0
WVL005,ERID-000WVL005,4,2010-11-01,2011-12-31,1000109,0
WVL005,ERID-000WVL005,4,2012-01-01,2013-01-10,1000116,0
