QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
3,1000000,GPS_S,2,3,GPS_S                                                                                                                                                                                                                                                          ,0
4,1000000,GPS_E,2,4,GPS_E                                                                                                                                                                                                                                                          ,0
5,1000000,Interviewer,2,5,Interviewer                                                                                                                                                                                                                                                    ,0
25,1000000,MeterNumber,2,14,MeterNumber                                                                                                                                                                                                                                                    ,0
27,1000000,NumberOfPhases,3,12,NumberOfPhases                                                                                                                                                                                                                                                 ,0
29,1000000,OpenTime_Tues,2,16,OpenTime_Tues                                                                                                                                                                                                                                                  ,0
35,1000000,Appl1_Type,2,22,Appl1_Type                                                                                                                                                                                                                                                     ,0
62,1000000,Appl6_Count,3,29,Appl6_Count                                                                                                                                                                                                                                                    ,0
75,1000000,Appl8_IsBroken,3,42,Appl8_IsBroken                                                                                                                                                                                                                                                 ,0
77,1000000,Appl10_IsBroken,3,44,Appl10_IsBroken                                                                                                                                                                                                                                                ,0
91,1000000,HotwaterSource,2,33,HotwaterSource                                                                                                                                                                                                                                                 ,0
1,1000001,test1,2,1,LoggerID                                                                                                                                                                                                                                                       ,0
36,1000000,Appl2_Type,2,23,Appl2_Type                                                                                                                                                                                                                                                     ,0
37,1000000,Appl3_Type,2,24,Appl3_Type                                                                                                                                                                                                                                                     ,0
38,1000000,Appl4_Type,2,25,Appl4_Type                                                                                                                                                                                                                                                     ,0
39,1000000,Appl5_Type,2,26,Appl5_Type                                                                                                                                                                                                                                                     ,0
40,1000000,Appl6_Type,2,27,Appl6_Type                                                                                                                                                                                                                                                     ,0
41,1000000,Appl7_Type,2,28,Appl7_Type                                                                                                                                                                                                                                                     ,0
42,1000000,Appl8_Type8,2,29,Appl8_Type                                                                                                                                                                                                                                                     ,0
43,1000000,Appl9_Type9,2,30,Appl9_Type                                                                                                                                                                                                                                                     ,0
44,1000000,Appl10_Type,2,31,Appl10_Type                                                                                                                                                                                                                                                    ,0
45,1000000,Appl11_Type,2,32,Appl11_Type                                                                                                                                                                                                                                                    ,0
46,1000000,Appl1_EnergySrc,3,13,Appl1_EnergySrc                                                                                                                                                                                                                                                ,0
47,1000000,Appl2_EnergySrc,3,14,Appl2_EnergySrc                                                                                                                                                                                                                                                ,0
48,1000000,Appl3_EnergySrc,3,15,Appl3_EnergySrc                                                                                                                                                                                                                                                ,0
49,1000000,Appl4_EnergySrc,3,16,Appl4_EnergySrc                                                                                                                                                                                                                                                ,0
55,1000000,Appl10_EnergySrc,3,22,Appl10_EnergySrc                                                                                                                                                                                                                                               ,0
56,1000000,Appl11_EnergySrc,3,23,Appl11_EnergySrc                                                                                                                                                                                                                                               ,0
57,1000000,Appl1_Count,3,24,Appl1_Count                                                                                                                                                                                                                                                    ,0
58,1000000,Appl2_Count,3,25,Appl2_Count                                                                                                                                                                                                                                                    ,0
59,1000000,Appl3_Count,3,26,Appl3_Count                                                                                                                                                                                                                                                    ,0
60,1000000,Appl4_Count,3,27,Appl4_Count                                                                                                                                                                                                                                                    ,0
61,1000000,Appl5_Count,3,28,Appl5_Count                                                                                                                                                                                                                                                    ,0
63,1000000,Appl7_Count,3,30,Appl7_Count                                                                                                                                                                                                                                                    ,0
64,1000000,Appl8_Count,3,31,Appl8_Count                                                                                                                                                                                                                                                    ,0
65,1000000,Appl9_Count,3,32,Appl9_Count                                                                                                                                                                                                                                                    ,0
66,1000000,Appl10_Count,3,33,Appl10_Count                                                                                                                                                                                                                                                   ,0
67,1000000,Appl11_Count,3,34,Appl11_Count                                                                                                                                                                                                                                                   ,0
68,1000000,Appl1_IsBroken,3,35,Appl1_IsBroken                                                                                                                                                                                                                                                 ,0
69,1000000,Appl2_IsBroken,3,36,Appl2_IsBroken                                                                                                                                                                                                                                                 ,0
70,1000000,Appl3_IsBroken,3,37,Appl3_IsBroken                                                                                                                                                                                                                                                 ,0
71,1000000,Appl4_IsBroken,3,38,Appl4_IsBroken                                                                                                                                                                                                                                                 ,0
72,1000000,Appl5_IsBroken,3,39,Appl5_IsBroken                                                                                                                                                                                                                                                 ,0
73,1000000,Appl6_IsBroken,3,40,Appl6_IsBroken                                                                                                                                                                                                                                                 ,0
74,1000000,Appl7_IsBroken,3,41,Appl7_IsBroken                                                                                                                                                                                                                                                 ,0
76,1000000,Appl9_IsBroken,3,43,Appl9_IsBroken                                                                                                                                                                                                                                                 ,0
78,1000000,Appl11_IsBroken,3,45,Appl11_IsBroken                                                                                                                                                                                                                                                ,0
79,1000000,Appl1_FreqOfUse,3,46,Appl1_FreqOfUse                                                                                                                                                                                                                                                ,0
80,1000000,Appl2_FreqOfUse,3,47,Appl2_FreqOfUse                                                                                                                                                                                                                                                ,0
81,1000000,Appl3_FreqOfUse,3,48,Appl3_FreqOfUse                                                                                                                                                                                                                                                ,0
82,1000000,Appl4_FreqOfUse,3,49,Appl4_FreqOfUse                                                                                                                                                                                                                                                ,0
83,1000000,Appl5_FreqOfUse,3,50,Appl5_FreqOfUse                                                                                                                                                                                                                                                ,0
84,1000000,Appl6_FreqOfUse,3,51,Appl6_FreqOfUse                                                                                                                                                                                                                                                ,0
85,1000000,Appl7_FreqOfUse,3,52,Appl7_FreqOfUse                                                                                                                                                                                                                                                ,0
86,1000000,Appl8_FreqOfUse,3,53,Appl8_FreqOfUse                                                                                                                                                                                                                                                ,0
87,1000000,Appl9_FreqOfUse,3,54,Appl9_FreqOfUse                                                                                                                                                                                                                                                ,0
88,1000000,Appl10_FreqOfUse,3,55,Appl10_FreqOfUse                                                                                                                                                                                                                                               ,0
89,1000000,Appl11_FreqOfUse,3,56,Appl11_FreqOfUse                                                                                                                                                                                                                                               ,0
90,1000000,HotWaterAtClinic,3,57,ClinicHasHotWater                                                                                                                                                                                                                                              ,0
1,1000002,LoggerID,2,1,LoggerID                                                                                                                                                                                                                                                       ,0
2,1000001,ChannelNo,2,2,ChannelNo                                                                                                                                                                                                                                                      ,0
31,1000001,appl2_type,1,4,appl2_type                                                                                                                                                                                                                                                     ,0
58,1000001,appl7_count,3,28,appl7_count                                                                                                                                                                                                                                                    ,0
28,1000002,MeterNumber,2,13,MeterNumber                                                                                                                                                                                                                                                    ,0
55,1000002,appl1_count,3,29,appl1_count                                                                                                                                                                                                                                                    ,0
82,1000002,appl6_FreqOfUse,3,56,appl6_FreqOfUse                                                                                                                                                                                                                                                ,0
3,1000001,Interviewer,2,3,Interviewer                                                                                                                                                                                                                                                    ,0
4,1000001,DateOfInterview,2,4,DateOfInterview                                                                                                                                                                                                                                                ,0
5,1000001,Area,2,5,Area                                                                                                                                                                                                                                                           ,0
6,1000001,NameOfShop,2,6,NameOfShop                                                                                                                                                                                                                                                     ,0
7,1000001,NameOfOwner,2,7,NameOfOwner                                                                                                                                                                                                                                                    ,0
8,1000001,NameOfRespondent,2,8,NameOfRespondent                                                                                                                                                                                                                                               ,0
9,1000001,PositionOfRespondent,2,9,PositionOfRespondent                                                                                                                                                                                                                                           ,0
10,1000001,AddressOfShop,1,1,AddressOfShop                                                                                                                                                                                                                                                  ,0
11,1000001,TelNo,1,2,TelNo                                                                                                                                                                                                                                                          ,0
12,1000001,CellNo,2,10,CellNo                                                                                                                                                                                                                                                         ,0
15,1000001,GPS_S,2,12,GPS_S                                                                                                                                                                                                                                                          ,0
14,1000001,GPS_E,2,11,GPS_E                                                                                                                                                                                                                                                          ,0
16,1000001,NumberOfStaff,3,1,NumberOfStaff                                                                                                                                                                                                                                                  ,0
17,1000001,FloorArea,3,2,FloorArea                                                                                                                                                                                                                                                      ,0
87,1000001,SopType_butchery,3,56,ShopType_butchery                                                                                                                                                                                                                                              ,0
90,1000001,ShopTYype,2,17,ShopType                                                                                                                                                                                                                                                       ,0
21,1000001,NumberOfYearsElectrified,3,4,NumberOfYearsElectrified                                                                                                                                                                                                                                       ,0
22,1000001,PeopleAreLivingAtShop,3,5,PeopleAreLivingAtShop                                                                                                                                                                                                                                          ,0
23,1000001,MeterType,3,6,MeterType                                                                                                                                                                                                                                                      ,0
24,1000001,MeterNumber,2,14,MeterNumber                                                                                                                                                                                                                                                    ,0
25,1000001,IncomingCBSize,3,7,IncomingCBSize                                                                                                                                                                                                                                                 ,0
26,1000001,NumberOfPhases,3,8,NumberOfPhases                                                                                                                                                                                                                                                 ,0
27,1000001,MainWaterSource,3,9,MainWaterSource                                                                                                                                                                                                                                                ,0
28,1000001,MainWaterSource_Other,2,15,MainWaterSource_Other                                                                                                                                                                                                                                          ,0
29,1000001,NumberOfPeopleLivingAtShop,3,10,NumberOfPeopleLivingAtShop                                                                                                                                                                                                                                     ,0
30,1000001,Appl1_type,1,3,Appl1_type                                                                                                                                                                                                                                                     ,0
32,1000001,appl3_type,1,5,appl3_type                                                                                                                                                                                                                                                     ,0
33,1000001,appl4_type,1,6,appl4_type                                                                                                                                                                                                                                                     ,0
34,1000001,appl5_type,1,7,appl5_type                                                                                                                                                                                                                                                     ,0
35,1000001,appl6_type,1,8,appl6_type                                                                                                                                                                                                                                                     ,0
36,1000001,appl7_type,1,9,appl7_type                                                                                                                                                                                                                                                     ,0
37,1000001,appl8_type,1,10,appl8_type                                                                                                                                                                                                                                                     ,0
38,1000001,appl9_type,1,11,appl9_type                                                                                                                                                                                                                                                     ,0
39,1000001,appl10_type,1,12,appl10_type                                                                                                                                                                                                                                                    ,0
40,1000001,appl11_type,1,13,appl11_type                                                                                                                                                                                                                                                    ,0
41,1000001,appl1_EnergySrc,3,11,appl1_EnergySrc                                                                                                                                                                                                                                                ,0
42,1000001,appl2_EnergySrc,3,12,appl2_EnergySrc                                                                                                                                                                                                                                                ,0
43,1000001,appl3_EnergySrc,3,13,appl3_EnergySrc                                                                                                                                                                                                                                                ,0
44,1000001,appl4_EnergySrc,3,14,appl4_EnergySrc                                                                                                                                                                                                                                                ,0
45,1000001,appl5_EnergySrc,3,15,appl5_EnergySrc                                                                                                                                                                                                                                                ,0
46,1000001,appl6_EnergySrc,3,16,appl6_EnergySrc                                                                                                                                                                                                                                                ,0
47,1000001,appl7_EnergySrc,3,17,appl7_EnergySrc                                                                                                                                                                                                                                                ,0
48,1000001,appl8_EnergySrc,3,18,appl8_EnergySrc                                                                                                                                                                                                                                                ,0
49,1000001,appl9_EnergySrc,3,19,appl9_EnergySrc                                                                                                                                                                                                                                                ,0
50,1000001,appl10_EnergySrc,3,20,appl10_EnergySrc                                                                                                                                                                                                                                               ,0
51,1000001,appl11_EnergySrc,3,21,appl11_EnergySrc                                                                                                                                                                                                                                               ,0
52,1000001,appl1_Count,3,22,appl1_Count                                                                                                                                                                                                                                                    ,0
53,1000001,appl2_count,3,23,appl2_count                                                                                                                                                                                                                                                    ,0
54,1000001,appl3_count,3,24,appl3_count                                                                                                                                                                                                                                                    ,0
55,1000001,appl4_count,3,25,appl4_count                                                                                                                                                                                                                                                    ,0
56,1000001,appl5_count,3,26,appl5_count                                                                                                                                                                                                                                                    ,0
57,1000001,appl6_count,3,27,appl6_count                                                                                                                                                                                                                                                    ,0
59,1000001,appl8_count,3,29,appl8_count                                                                                                                                                                                                                                                    ,0
60,1000001,appl9_count,3,30,appl9_count                                                                                                                                                                                                                                                    ,0
61,1000001,appl10_count,3,31,appl10_count                                                                                                                                                                                                                                                   ,0
62,1000001,appl11_count,3,32,appl11_count                                                                                                                                                                                                                                                   ,0
63,1000001,appl1_IsBroken,3,33,appl1_IsBroken                                                                                                                                                                                                                                                 ,0
64,1000001,appl2_IsBroken,3,34,appl2_IsBroken                                                                                                                                                                                                                                                 ,0
65,1000001,appl3_IsBrokem,3,35,appl3_IsBroken                                                                                                                                                                                                                                                 ,0
66,1000001,appl4_IsBroken,3,36,appl4_IsBroken                                                                                                                                                                                                                                                 ,0
67,1000001,appl5_IsBroken,3,37,appl5_IsBroken                                                                                                                                                                                                                                                 ,0
68,1000001,appl6_IsBroken,3,38,appl6_IsBroken                                                                                                                                                                                                                                                 ,0
69,1000001,appl7_IsBroken,3,39,appl7_IsBroken                                                                                                                                                                                                                                                 ,0
70,1000001,appl8_IsBroken,3,40,appl8_IsBroken                                                                                                                                                                                                                                                 ,0
71,1000001,appl9_IsBroken,3,41,appl9_IsBroken                                                                                                                                                                                                                                                 ,0
72,1000001,appl10_IsBroken,3,42,appl10_IsBroken                                                                                                                                                                                                                                                ,0
73,1000001,appl11_IsBroken,3,43,appl11_IsBroken                                                                                                                                                                                                                                                ,0
74,1000001,appl1_FreqOfUse,3,44,appl1_FreqOfUse                                                                                                                                                                                                                                                ,0
75,1000001,appl2_FreqOfUse,3,45,appl2_FreqOfUse                                                                                                                                                                                                                                                ,0
76,1000001,appl3_FreqOfUse,3,46,appl3_FreqOfUse                                                                                                                                                                                                                                                ,0
77,1000001,appl4_FreqOfUse,3,47,appl4_FreqOfUse                                                                                                                                                                                                                                                ,0
78,1000001,appl5_FreqOfUse,3,48,appl5_FreqOfUse                                                                                                                                                                                                                                                ,0
79,1000001,appl6_FreqOfUse,3,49,appl6_FreqOfUse                                                                                                                                                                                                                                                ,0
80,1000001,appl7_FreqOfUse,3,50,appl7_FreqOfUse                                                                                                                                                                                                                                                ,0
81,1000001,appl8_FreqOfUse,3,51,appl8_FreqOfUse                                                                                                                                                                                                                                                ,0
82,1000001,appl9_FreqOfUse,3,52,appl9_FreqOfUse                                                                                                                                                                                                                                                ,0
83,1000001,appl10_FreqOfUse,3,53,appl10_FreqOfUse                                                                                                                                                                                                                                               ,0
84,1000001,appl11_FreqOfUse,3,54,appl11_FreqOfUse                                                                                                                                                                                                                                               ,0
2,1000002,ChannelNo,2,2,ChannelNo                                                                                                                                                                                                                                                      ,0
3,1000002,GPS_S,2,3,GPS_S                                                                                                                                                                                                                                                          ,0
4,1000002,GPS_E,2,4,GPS_E                                                                                                                                                                                                                                                          ,0
5,1000002,Interviewer,2,5,Interviewer                                                                                                                                                                                                                                                    ,0
6,1000002,DateOfInterview,2,6,DateOfInterview                                                                                                                                                                                                                                                ,0
7,1000002,Area,2,7,Area                                                                                                                                                                                                                                                           ,0
8,1000002,NameOfSchool,2,8,NameOfSchool                                                                                                                                                                                                                                                   ,0
9,1000002,NameOfRespondent,2,9,NameOfRespondent                                                                                                                                                                                                                                               ,0
10,1000002,PosOfRespondent,2,10,PosOfRespondent                                                                                                                                                                                                                                                ,0
11,1000002,AddressOfSchool,1,1,AddressOfSchool                                                                                                                                                                                                                                                ,0
12,1000002,TelNo,2,11,TelNo                                                                                                                                                                                                                                                          ,0
13,1000002,CellNo,2,12,CellNo                                                                                                                                                                                                                                                         ,0
14,1000002,NumOfPupils,3,1,NumOfPupils                                                                                                                                                                                                                                                    ,0
